Feature,Target,Pearson_r,P_value,Significant,Decision,RDKit_descriptor,Abs_r
storage_modulus_pa,density_g_cm3,0.9987,0.0,yes,kept,no,0.9987
xray_sld_real,density_g_cm3,0.9987,0.0,yes,dropped,no,0.9987
NumHeavyAtoms,density_g_cm3,-0.9063,0.0128,yes,dropped,yes,0.9063
k_980nm,density_g_cm3,0.8834,0.0196,yes,dropped,no,0.8834
n_785nm,density_g_cm3,0.8103,0.0014,yes,dropped,no,0.8103
BertzCT,density_g_cm3,-0.7964,0.058,no,dropped,yes,0.7964
neutron_sld_real,density_g_cm3,0.7692,0.0003,yes,dropped,no,0.7692
k_633nm,density_g_cm3,0.7066,0.1165,no,dropped,no,0.7066
FractionCSP3,density_g_cm3,-0.5435,0.0296,yes,kept,yes,0.5435
k_785nm,density_g_cm3,0.5256,0.4744,no,dropped,no,0.5256
TPSA,density_g_cm3,-0.4222,0.1033,no,kept,yes,0.4222
loss_modulus_pa,density_g_cm3,0.4221,0.2975,no,dropped,no,0.4221
n_633nm,density_g_cm3,-0.4099,0.1291,no,dropped,no,0.4099
viscosity_mpa_s,density_g_cm3,0.3945,0.4389,no,dropped,no,0.3945
NumHAcceptors,density_g_cm3,-0.3695,0.159,no,dropped,yes,0.3695
HBondAcceptors,density_g_cm3,-0.3412,0.4082,no,dropped,no,0.3412
dielectric_real_static,density_g_cm3,-0.3082,0.4198,no,kept,no,0.3082
HBondDonors,density_g_cm3,-0.308,0.4579,no,kept,no,0.308
NumHDonors,density_g_cm3,-0.2973,0.2634,no,dropped,yes,0.2973
h_bond_acceptors,density_g_cm3,-0.2478,0.4899,no,dropped,yes,0.2478
NumRotatableBonds,density_g_cm3,-0.1891,0.4831,no,dropped,yes,0.1891
h_bond_donors,density_g_cm3,-0.181,0.6169,no,dropped,yes,0.181
n_980nm,density_g_cm3,-0.1794,0.5395,no,dropped,no,0.1794
RotatableBonds,density_g_cm3,-0.1693,0.6886,no,dropped,no,0.1693
MolLogP,density_g_cm3,-0.1651,0.5413,no,dropped,yes,0.1651
NumAromaticRings,density_g_cm3,-0.1497,0.5799,no,kept,yes,0.1497
rotatable_bonds,density_g_cm3,-0.1399,0.6999,no,dropped,yes,0.1399
logP,density_g_cm3,-0.1334,0.7132,no,kept,yes,0.1334
NumRings,density_g_cm3,-0.1267,0.7273,no,dropped,yes,0.1267
ExactMolWt,density_g_cm3,0.0668,0.8545,no,dropped,yes,0.0668
exact_mass,density_g_cm3,0.0668,0.8545,no,dropped,yes,0.0668
MolWt,density_g_cm3,0.0443,0.8706,no,dropped,yes,0.0443
XLogP,density_g_cm3,-0.044,0.944,no,dropped,no,0.044
k_785nm,k_633nm,1.0,0.0,yes,kept,no,1.0
NumHeavyAtoms,k_633nm,-0.9918,0.0082,yes,dropped,yes,0.9918
k_980nm,k_633nm,0.9608,0.0093,yes,dropped,no,0.9608
TPSA,k_633nm,-0.9533,0.0032,yes,dropped,yes,0.9533
n_785nm,k_633nm,0.8721,0.1279,no,dropped,no,0.8721
xray_sld_real,k_633nm,0.7314,0.0985,no,kept,no,0.7314
BertzCT,k_633nm,-0.7289,0.2711,no,kept,yes,0.7289
density_g_cm3,k_633nm,0.7066,0.1165,no,dropped,no,0.7066
NumHAcceptors,k_633nm,-0.6571,0.1562,no,dropped,yes,0.6571
MolLogP,k_633nm,0.5659,0.2417,no,kept,yes,0.5659
neutron_sld_real,k_633nm,0.502,0.3103,no,kept,no,0.502
FractionCSP3,k_633nm,-0.4489,0.3719,no,dropped,yes,0.4489
NumHDonors,k_633nm,-0.4489,0.3719,no,dropped,yes,0.4489
n_633nm,k_633nm,-0.3853,0.4507,no,dropped,no,0.3853
MolWt,k_633nm,-0.0298,0.9553,no,kept,yes,0.0298
n_980nm,k_633nm,0.0251,0.968,no,dropped,no,0.0251
NumAromaticRings,k_633nm,,,no,kept,yes,
NumRotatableBonds,k_633nm,,,no,kept,yes,
n_785nm,n_633nm,0.9954,0.0,yes,kept,no,0.9954
n_980nm,n_633nm,0.986,0.0,yes,dropped,no,0.986
storage_modulus_pa,n_633nm,0.8657,0.0055,yes,dropped,no,0.8657
k_785nm,n_633nm,0.8118,0.1882,no,dropped,no,0.8118
viscosity_mpa_s,n_633nm,0.675,0.2112,no,kept,no,0.675
loss_modulus_pa,n_633nm,0.6141,0.1423,no,kept,no,0.6141
HBondAcceptors,n_633nm,0.4629,0.3553,no,dropped,no,0.4629
density_g_cm3,n_633nm,-0.4099,0.1291,no,dropped,no,0.4099
k_633nm,n_633nm,-0.3853,0.4507,no,dropped,no,0.3853
xray_sld_real,n_633nm,-0.3816,0.1605,no,dropped,no,0.3816
k_980nm,n_633nm,-0.3716,0.538,no,dropped,no,0.3716
dielectric_real_static,n_633nm,-0.3686,0.4159,no,dropped,no,0.3686
HBondDonors,n_633nm,0.3073,0.5535,no,kept,no,0.3073
h_bond_acceptors,n_633nm,0.3006,0.4694,no,kept,yes,0.3006
NumRings,n_633nm,0.2323,0.5798,no,kept,yes,0.2323
RotatableBonds,n_633nm,0.2248,0.6685,no,dropped,no,0.2248
h_bond_donors,n_633nm,0.1885,0.6548,no,dropped,yes,0.1885
logP,n_633nm,0.1725,0.6829,no,dropped,yes,0.1725
rotatable_bonds,n_633nm,0.1554,0.7133,no,dropped,yes,0.1554
NumHeavyAtoms,n_633nm,-0.1541,0.7706,no,kept,yes,0.1541
MolWt,n_633nm,-0.119,0.6853,no,dropped,yes,0.119
neutron_sld_real,n_633nm,-0.1148,0.6838,no,dropped,no,0.1148
TPSA,n_633nm,0.1082,0.7128,no,dropped,yes,0.1082
XLogP,n_633nm,0.1039,0.8961,no,dropped,no,0.1039
BertzCT,n_633nm,-0.1005,0.8498,no,dropped,yes,0.1005
NumHAcceptors,n_633nm,0.0642,0.8274,no,dropped,yes,0.0642
FractionCSP3,n_633nm,-0.0532,0.8568,no,dropped,yes,0.0532
ExactMolWt,n_633nm,-0.0348,0.9348,no,dropped,yes,0.0348
exact_mass,n_633nm,-0.0348,0.9348,no,dropped,yes,0.0348
NumAromaticRings,n_633nm,0.0305,0.9176,no,dropped,yes,0.0305
MolLogP,n_633nm,-0.0259,0.93,no,dropped,yes,0.0259
NumHDonors,n_633nm,-0.0173,0.9533,no,dropped,yes,0.0173
NumRotatableBonds,n_633nm,-0.0108,0.9708,no,dropped,yes,0.0108
NumHeavyAtoms,neutron_sld_real,-0.9124,0.0112,yes,kept,yes,0.9124
loss_modulus_pa,neutron_sld_real,0.9104,0.0017,yes,kept,no,0.9104
storage_modulus_pa,neutron_sld_real,0.9068,0.0007,yes,dropped,no,0.9068
BertzCT,neutron_sld_real,-0.8491,0.0325,yes,dropped,yes,0.8491
xray_sld_real,neutron_sld_real,0.7857,0.0002,yes,dropped,no,0.7857
density_g_cm3,neutron_sld_real,0.7692,0.0003,yes,dropped,no,0.7692
FractionCSP3,neutron_sld_real,-0.7582,0.0007,yes,dropped,yes,0.7582
viscosity_mpa_s,neutron_sld_real,0.7424,0.091,no,kept,no,0.7424
k_980nm,neutron_sld_real,0.5951,0.2127,no,dropped,no,0.5951
dielectric_real_static,neutron_sld_real,-0.5924,0.0928,no,kept,no,0.5924
n_785nm,neutron_sld_real,0.5301,0.0763,no,dropped,no,0.5301
HBondDonors,neutron_sld_real,-0.5097,0.197,no,kept,no,0.5097
k_633nm,neutron_sld_real,0.502,0.3103,no,dropped,no,0.502
XLogP,neutron_sld_real,0.4402,0.4582,no,dropped,no,0.4402
TPSA,neutron_sld_real,-0.416,0.109,no,dropped,yes,0.416
NumHDonors,neutron_sld_real,-0.4119,0.1129,no,dropped,yes,0.4119
NumHAcceptors,neutron_sld_real,-0.3678,0.1611,no,kept,yes,0.3678
h_bond_donors,neutron_sld_real,-0.3338,0.3459,no,dropped,yes,0.3338
HBondAcceptors,neutron_sld_real,-0.3165,0.445,no,dropped,no,0.3165
NumRotatableBonds,neutron_sld_real,-0.2594,0.3319,no,dropped,yes,0.2594
k_785nm,neutron_sld_real,0.2545,0.7455,no,dropped,no,0.2545
MolLogP,neutron_sld_real,-0.2352,0.3806,no,dropped,yes,0.2352
h_bond_acceptors,neutron_sld_real,-0.2251,0.5319,no,dropped,yes,0.2251
RotatableBonds,neutron_sld_real,-0.2106,0.6167,no,dropped,no,0.2106
rotatable_bonds,neutron_sld_real,-0.21,0.5604,no,dropped,yes,0.21
logP,neutron_sld_real,-0.1767,0.6253,no,dropped,yes,0.1767
n_980nm,neutron_sld_real,0.1246,0.6712,no,dropped,no,0.1246
n_633nm,neutron_sld_real,-0.1148,0.6838,no,dropped,no,0.1148
ExactMolWt,neutron_sld_real,-0.0495,0.892,no,dropped,yes,0.0495
exact_mass,neutron_sld_real,-0.0495,0.892,no,dropped,yes,0.0495
NumRings,neutron_sld_real,0.0422,0.9079,no,kept,yes,0.0422
MolWt,neutron_sld_real,-0.0359,0.8949,no,dropped,yes,0.0359
NumAromaticRings,neutron_sld_real,-0.0321,0.9061,no,dropped,yes,0.0321
density_g_cm3,xray_sld_real,0.9987,0.0,yes,kept,no,0.9987
storage_modulus_pa,xray_sld_real,0.9982,0.0,yes,dropped,no,0.9982
NumHeavyAtoms,xray_sld_real,-0.9207,0.0092,yes,dropped,yes,0.9207
k_980nm,xray_sld_real,0.8865,0.0186,yes,dropped,no,0.8865
n_785nm,xray_sld_real,0.8292,0.0009,yes,kept,no,0.8292
BertzCT,xray_sld_real,-0.8056,0.053,no,kept,yes,0.8056
neutron_sld_real,xray_sld_real,0.7857,0.0002,yes,kept,no,0.7857
k_633nm,xray_sld_real,0.7314,0.0985,no,dropped,no,0.7314
FractionCSP3,xray_sld_real,-0.5649,0.0226,yes,kept,yes,0.5649
k_785nm,xray_sld_real,0.558,0.442,no,dropped,no,0.558
viscosity_mpa_s,xray_sld_real,0.4522,0.368,no,kept,no,0.4522
TPSA,xray_sld_real,-0.4308,0.0957,no,dropped,yes,0.4308
n_633nm,xray_sld_real,-0.3816,0.1605,no,dropped,no,0.3816
loss_modulus_pa,xray_sld_real,0.3786,0.355,no,dropped,no,0.3786
NumHAcceptors,xray_sld_real,-0.378,0.1489,no,kept,yes,0.378
HBondAcceptors,xray_sld_real,-0.3448,0.4029,no,dropped,no,0.3448
HBondDonors,xray_sld_real,-0.3138,0.4492,no,kept,no,0.3138
NumHDonors,xray_sld_real,-0.3081,0.2457,no,dropped,yes,0.3081
dielectric_real_static,xray_sld_real,-0.3061,0.4231,no,kept,no,0.3061
h_bond_acceptors,xray_sld_real,-0.2493,0.4873,no,dropped,yes,0.2493
NumRotatableBonds,xray_sld_real,-0.196,0.467,no,dropped,yes,0.196
h_bond_donors,xray_sld_real,-0.1843,0.6103,no,dropped,yes,0.1843
MolLogP,xray_sld_real,-0.1729,0.5219,no,dropped,yes,0.1729
RotatableBonds,xray_sld_real,-0.1724,0.6831,no,dropped,no,0.1724
NumAromaticRings,xray_sld_real,-0.1566,0.5624,no,kept,yes,0.1566
rotatable_bonds,xray_sld_real,-0.1424,0.6948,no,dropped,yes,0.1424
logP,xray_sld_real,-0.1372,0.7054,no,dropped,yes,0.1372
n_980nm,xray_sld_real,-0.1321,0.6525,no,dropped,no,0.1321
NumRings,xray_sld_real,-0.1306,0.7192,no,dropped,yes,0.1306
ExactMolWt,xray_sld_real,0.0635,0.8616,no,dropped,yes,0.0635
exact_mass,xray_sld_real,0.0635,0.8616,no,dropped,yes,0.0635
MolWt,xray_sld_real,0.0351,0.8974,no,dropped,yes,0.0351
XLogP,xray_sld_real,-0.0229,0.9708,no,dropped,no,0.0229
